Description,Actual_cate,Predicted_cate
re scans results kale hello there findings report about infrastructure covering multiple issues should be split several teams findings should be covered by application should be covered by line updates should be covered by findings about servers location were fixed fixed fixed fixed fixed available but access close incident but please review list open incidents for proper teams thank you senior engineer en sent monday october scans results kale hello please find above your queue thank you analyst ext hub sent friday october scans results kale hello please find above your queue thank you analyst ext hub sent friday october scans results kale hi can you please raise tickets relevant teams guess investigate hopefully fix vulnerabilities identified kale assets attached results vulnerability scans performed there recently kind regards information compliance officer extension or,0,0
floor door hello wanted out found fire escape door floor right side bathrooms buzz indicating alarm triggered because door remained opened suggest checks door sensors functioning correctly regards lead,0,2
hi specifications quad core requirement hosted inside cost related discussions please refer kind regards senior developer,0,0
urgent ne la si se pare ca la ne la moment kind regards senior tester blvd district ext,0,1
sent tuesday cannot connect using cable connection hello starting morning cannot use cable connection connect can you please assist thanks senior developer,0,0
re suspicious thank vigilance has dangerous content guess waiting response valid complete databases delete please please best regards monitoring analyst wednesday suspicious hello received yesterday afternoon pm find suspicious followed required steps forward let help thank developer,4,4
physical hello testing purposes colleagues accessible by default because connected directly physical connect resource probably issue rule bb best regards,0,0
tool instance hi please log under name assign queue regards friday pm re tool instance hey yeas please date until po cheers senior re tool instance hey please make log machine required change date machine date estimated date let update instance cheers friday pm re tool instance hi develop colombia progress more information let cheers senior tool instance importance high hello please let instance name tool type medium kind regards leader,4,4
help hi middle contest hosted machine accessed please help possible by thanks senior tester,0,0
thursday february pm re communication devices sn hi thanks getting back add under phones going further please also help migrating currently under communication devices thanks administrator thursday february pm re communication devices sn hi modify form days suggest phone class name instead communication devices class design working items please please help phone forms regards february communication devices sn hi kindly help additional communication devices sn re looking available add phone devices sn po number vendor location assigned serial number assist needed please let thank much administrator,4,4
sent friday november issues with wireless connection hello experiencing issues connecting any wireless issue started last around when wireless connection went access experience same issue matter wireless choose connect guest etc status connected access note made changes settings or configuration or anything would like for issue be resolved plan working over weekend would need connect wireless let know if you need further information thanks kind regards infrastructure manager,3,0
december re card hi find card mentioned please help card today his thanks december card va prima va va analyst,1,1
original message sent monday february event notification data event ground floor balcony door open source balcony details details details information confidential,2,2
re shared drives hi auditors possible give print screen file attached thank much,0,0
thursday july pm transfer dear change st he must return his equipment he he change other job details remain same please find attached transfer form thank kind regards administrator,1,1
weekly renewal dear please advised guest has successfully changed quotes devices jersey jersey failed change none found devices under failed other errors were reported please great ahead,3,3
monitoring shared mailbox hello please creation shared mailbox named monitoring members let further details required lead,4,4
tuesday pm card si,1,1
sent thursday th floor burglary alarm triggered today around hi guys please action below thanks incident manager sent thursday re th floor burglary alarm triggered today around hi yes please raise get touch with quartz order understand what happened regards sent wednesday th floor burglary alarm triggered today around hello could you please advise how should we proceed with below should we contact quartz we need log for looking forward your kind regards incident manager,2,2
wednesday november pm card si ca card,1,1
re relocation sorry today work assigned make changes also permanent badge id building thanks pm re relocation hello make changes administration officer pm relocation hi everyone please informed re located formal process follow order make correspondence paperwork assistance provided right location currently issues thank developer,1,1
instance hi needs more instance attached configuration details replaces recently decommissioned which had became insufficient growing needs thanks senior consultant,0,0
port hi please help accessing port slaves machines required jobs assign best regards engineer,0,0
re updated commercial client code setup hi although code due active till st july enter draft budget appears writable code please give write update these figures thanks technical programme id canary updated commercial client code setup resolved fellow think query logged has resolved did well details reference summary commercial client code setup description type setup setup commercial commercial client code commercial client code more resolution code good provided resolution response issue persist recur resolved please best provide assistance matter how how how warm regards ext ref msg,4,4
re has assigned hi dear please assign these changes also done questions please let thanks engineer,4,4
wants resources presentation accept decline requests,4,4
laptop needed encryption already resolved by,3,3
room engineer dear please log assign providing room engineer scheduled come urgent tracking purposes thanks kind regards engineer,1,3
sent wednesday re incident importance high hi please consider incident we have for computers access client networks can we get sorted out asap today please thanks sent tuesday hello until recently only were added were allowed into was seen by client reassuring feature setup please help understand if changed purpose recently why obviously need have secure access resources entails controlled set devices accessing client resources weakened posture please treat with proper attention priority thank you,2,2
expense report submission hello please submit expense report inactive did submit his expense report leaving expense report contain items lines attached photos receipts amounts written once done please let please log other information please let great accounts payable,4,4
sensors electronics how got design lead ext wednesday october sensors electronics dear mr pleasure invite sensors electronics munich germany agenda attached event aims bringing strategic leaders technical experts under single roof share ideas insights advances please let interested attending recommend experts benefit topics include willing leverage speaking opportunities next thank beforehand feedback kind regards head phone information contained confidential intended individual entity named privileged unauthorized review disclosure prohibited intended recipient please immediately stating received error then please delete thank link,1,1
badge dear please help assign badge starting today he assigned easy he needs floors best regards,1,1
purchase po dear purchased classic black please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed kind regards administrator,3,3
sent tuesday lost visitor card hello please visitor card lost our colleague returned yet thanks manager,2,2
card dear please log assign thank kind regards engineer re card hi assigned phone number take maximum active has he help thank kind regards administrator thursday pm card hi moved kindly ask allocate card please help keeping thanks floor blvd district,3,1
sent monday october display driver stopped hi have problem with laptop when extended monitor connected seems be video driver because laptop desktop screens restarting please find attached error get after could you please advise what should avoid error thank you senior developer,3,3
sent friday losing key card hello dear have let you know lose key card please let know what have best regards intern en,2,2
status buying dear please let rules selling old employees regards head please consider environment printing content communication classified confidential proprietary information content communication intended solely individual entity whom addressed others authorized receive intended recipient hereby notified disclosure copying taking action reliance contents information strictly prohibited unlawful received communication error please notify immediately by responding communication then delete integrity communication has maintained nor communication free viruses interceptions interference appreciate assistance preserving confidentiality correspondence thank,3,4
original message sent wednesday march alarm alarm alarm changed status yellow target par previous status status yellow alarm definition yellow metric above red metric above current values for metric metric disk space used description alarm usage disk par changed,0,0
sent wednesday march phones working hello could you please assign ticket we have contact today during phone outage started today sd thanks leader,0,0
sent monday october re access si tot sent monday october re access si activate sent friday october access si va analyst community builder ext hub,2,2
sent tuesday november cursor issues dear was having some mouse issues with his cursor moving by itself issue have disabled his laptop hoping fixes issue please log ticket assign for tracking purposes case disable resolve matter thanks kind regards engineer en,3,3
sent monday status test server train hi please check status server train get following error message when connecting thank you tester,0,0
starter form completed form tuesday re starter form hi please find attached form thanks starter form hi also join st february please assist fill attached form mobile hardware thank,4,4
sent wednesday july lost access card hi lost access card please invalidate old one create one send thank you kind regards senior developer ext,2,2
fix broken cable everest floor dear please help replacing cable everest floor thank best regards agile safe next annual leave november,0,0
tuesday pm re hello please find attached filled thank tuesday hello please fill date thank administration officer,1,1
hi please provide working seed training repository thank senior tester,4,4
sent wednesday slow access importance high hi we re unusually slow speeds today accessing sites we use for our daily tasks etc we checked with our across th floors appears be issue if could please have look thank you consultant,0,0
february re received after hi thanks letting about delete please add blacklist regards february received after hi guys got friday after please take notice best regards senior developer,2,2
access doors morning please investigate with high priority issue access th floor tower able entry nor exit floor thank you administrator id image cd,2,2
re card floor hello please advised both colleagues floors log assign queue thank engineer october card floor hi colleagues please provide card floor thanks lead,1,1
transfer hardware allocation has assigned hello id card thank engineer tuesday december pm transfer hardware allocation has assigned hello please advised record number has assigned please review details take appropriate action reference number details description transfer dear please find form thank kind regards administrator location attachments transfer form please link kind regards please ref msg,1,1
sent november problem with phones hi there problem with phones thames dialling out please can be looked into please thanks kind regards receptionist,3,3
floors dear member starting today kindly ask him floors floor floor thank best regards self,1,1
re action required approve requisition hi phone hi please phone repaired kind regards administrator wednesday december pm action required approve requisition la date wednesday december action required approve requisition task application amount requester lite justification had work phone years took button issue also had past fixed got user advised phone approve reject lines lite lite requester assets accessories task closure charge charge segment description default materials form inventory default default action history approved submitted future approvers framework application identity view task details,3,3
change bid hi please kind help switch bid opportunity locked stage opportunity id thank officer,4,4
stopped overnight hi both instances stopped overnight thank wednesday si date si se se cine design lead,0,0
tuesday february pm card cleaning member hi please help card member cleaning her must same granted her colleague thank,1,1
paternity leaver form hello please fill paternity form thank administration officer,2,1
card activation offices dear short visit december december please card tower range thanks developer,1,1
dashboard dear please dashboard too same profile thank,4,4
hi got assigned number please provide number delete his which stolen please perform change later than friday mid given needs work during weekend thanks,3,3
original message sent wednesday february error problem event there problem with type right enclosure product id sn cl version related event serial number related event code event id event code event severity error event name location client name contact address additional information indicated failed or operating correctly event follows some other specific event indicating problem recommended action determine whether needs be replaced topic about verifying component failure component replacement instructions document,0,0
purchase po dear purchased pro retina intel plus graphics kb description quantity peripheral mouse other apple adapter pro inch retina display peripheral keyboard numeric keypad please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,3,3
sent november problems server hello everyone few weeks ago we had problem with machine incident created was after you gave continued working well today problem going again we tried execute commands you sent incident solution however problem resolved could you please help with solution tell if something your specifications also we have received incident regarding alarm machine could be cause problem we working server same way we haven any change please review attached complete information thanks for your help regards senior developer,0,0
restrict folder dear colleagues please help asap within folder resources signature seems rights changed editing ones thank best date tuesday october restrict folder hi guys please asap how folder site please restore versions signatures had example modified by various users except files had delete thank,0,4
puerto complete colombia dear please help completed form puerto internship student intern joining well please complete going his where he going seated thank compliance officer colombia,3,3
card working th floor dear colleagues please note cannot use card th floor emergency exits stairways please try solve asap thank you best regards manager,2,2
purchase po dear purchased lite mobile subscription number updated include device under user name please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link please receipt number item needed processed thank kind regards administrator,3,3
badge card hi access card break can you please help with issue regards,2,2
join hello please log bellow assign queue thanks engineer friday november join hello va la si se va,1,1
additional keyboard hello please allocate additional keyboard thank tester,3,3
circuit id jersey hello please help circuit id jersey installed nj merged information how identify circuit information order ask diversity circuit thus identify hilltop road nj public thanks,0,0
dear please provide her also please change rights want replace needed thank testing discipline lead,4,4
please action submit cards hello withdrawn past annual leave period action has become invalid received tried reenter canceled annual leave mentioned did let submit date annual leave past actions taken resolve query thanks tester please action submit cards dear receiving because cards haven submitted please note enough enter also make submit take corrective actions submitted card gets rejected breakdown submitted cards please submit accordingly possible country submitted cards card status entered total submitted cards submitted cards statuses explained error usually happens log calendar view period than days then delete which causes timecard switch error fix add back deleted delete entire timecard right hand side menu recreate again rejected card rejected by approvers please card entries accordingly resubmit entered status timecard few days entire timecard entered saved cards status has passed entered validation gone next submission step card issues resolve please wait corresponding resolutions,4,4
leaver form leave date december location hello leaver form has filled by name leaving date december location ad forwarder leaver mailbox did leaver roaming profile did leaver ad rights personal mailbox approver did leaver rights inventory storage required information name work location details floor seat did leaver did leaver token did leaver mobile phone subscription did leaver other commercial accounts leaver has detected changed automatic by approver backup pm purchase coordinator approver approver approver approver discipline responsible other did leaver did leaver did leaver did leaver did leaver number did leaver extension leaving details unplanned comments ny needed tickets automatically logged best regards note mailbox receive messages,3,4
license hi dear please provide two licenses questions please let thanks,4,4
status old hi dear old keep period needed purpose essentially take period until client give more hardware resources more details please thank cheers senior software engineer ext,3,3
changed hello please log assign best regards senior engineer thursday pm changed dear told help change contract contract id thanks officer,4,4
sent wednesday october extend partition hi partition lap top full could someone extend thank you br senior developer,3,3
when making more demanding build with pro fan very noisy was happening before,3,3
migration hi please assign order migrate instance slave slave slave please let mode details thank engineer,0,0
matrix hi please help confirming has provided entire per attached document thanks,0,0
hi had training unable please help best regards specialist users library containers library caches signatures signature,4,4
port required hello due member port installed required order install phone thin client added pm thanks,0,0
tuesday december pm please secure area hi please secure area thanks officer,1,1
return maternity ne si,1,1
client hi about working client clients establish two infrastructures help much about done link order sorted please let arrange conversation established please sense urgency increase priority please let ideal where make work please let escalation required thanks head,0,0
sent thursday february event notification data event ground floor main door open source cafe details details details,2,2
re updated lost card hello haven received replacement card please advise has arranged expect receive card thank friday updated lost card resolved fellow think query logged has resolved did well details reference summary lost card description hi lost card please deactivate provide replacement please also advise replacement procedure fee details more resolution card marked lost good provided resolution response issue persist recur resolved please best provide assistance matter how how how warm regards ext ref msg,1,2
tuesday pm si lead ca tale care plan care ti tau recruiting lead st center building st floor suite connect follow,1,1
maternity leaver form hello please help by filling out maternity leaver form thank ext,1,1
sent wednesday february frankfurt problems hi please raise ticket for investigate frankfurt line connected duplex best regards senior consultant infrastructure,0,0
friday lost badge found hello written about lost badge which found morning possible activate back return newly given badge thank best regards software developer,2,2
wednesday pm re please add yet more find out possible add wild carded add variations even doing awful lot simpler than every possible variation starting name hundreds possible keeping impossible kind regards re please add yet more hi ask relevant add further please these variations lists previously focussing design kind regards information compliance officer extension,1,4
present si va sa se se face application engineer,2,2
friday pm transfer dear change st she must return her equipment she needs other job details remain same please find attached transfer form thank kind regards administrator,1,1
re please action reports hi received has annual leave approved checked him status his leave has status complete please received action best regards wednesday pm please action reports dear part established processes each required submit his weekly basis each friday past must submitted receiving because reports haven followed process please help cascade accordingly gets possible breakdown reports please note refers has left maternity other absence leave please update person record otherwise please person directly submit country date total days,4,4
tuesday pm hello please file named statements per path banks file name statements thank regards leader,0,0
sent friday november able access hi guys looks like able access analyzed looks like there some addresses side should be able access external server testing if related settings ticket change settings change settings or since know when was last tried access can you please take look thanks regards design lead,0,0
increase site dear increase site storage quota invoicing site old asap work old assign directly best regards engineer,4,4
original message sent friday march event notification data event et door vest remote alarm source et door vest details details details,2,2
sent friday badge lost dear unfortunately lost badge can you please block provide another one really sorry for inconvenience regards,2,2
return equipment keyboards headphones mouse cables hello gathered equipment give back please come floor near main entrance attached photo details thanks wanted bring floor nobody morning,3,3
sent wednesday march error client site importance high hey cannot access client site have attached log with corresponding error please advise thanks,0,0
thursday pm cards usage hi please assign order cards defined control which were more than days cards find out these cards were thanks,1,1
re devices accessed hi again seems devices connected visible devices accessible via got functional connected inside router looking possibility devices over instance while device install application device via provided across also make visible over currently environment client side germany shows devices which make visible over well understood given devices available locally devices reachable over device which connected router seems out reach replies timeouts software test lead,0,0
sent friday november phone problem dear phone working anyone can call but show our display ring can you change phone ring ringing colleague shows hers laptop thank you sincerely manager,3,3
sent wednesday december re update main door opening without card bun data video ca week end sent monday december update th floor main door opening without card dear further our recent communication we believe your below query resolved if you with resolution there need for response however please let know if we can be any further assistance matter please note interactions between clients regularly monitored order make high quality maintained reference number summary th floor main door opening without card resolver resolution details checked door access working should light constantly description th floor main door opening without card sent december bun se card verde interior exterior sent mobile kind regards ext hub ref msg registered under number whose registered old broad street kingdom does provide any clients each subs,2,2
shared drives dear write regarding topic raised by colleagues regarding shared location please help users provided by containing information regarding has user rights shared drivers by personnel thank kind assistance regards ledger accountant,0,0
sent wednesday october ca la et la tot et si si ca ca la front end developer,2,2
sent wednesday november device mercury meeting room working hi guys could you please investigate why phone device mercury meeting room working anymore we had some difficulties last couple days with situation thanks regards ext mob,3,3
friday re update lost card hello found lost card possible re activate thanks,1,2
please add hi received please take appropriate steps senior engineer,4,4
administrator users hi administrator users ad thank senior engineer,4,4
sent friday march lost visitor card hello please lost visitor card lost instead activate card thanks manager,2,2
friday december hi please card thank unit,1,1
sent friday re update hi computer crashes periodically when connected docking station can someone have look monday head corporate wrote dear further our recent communication we believe your below query resolved if you with resolution there need for response however please let know if we can be any further assistance matter reference number summary resolver resolution notes docking station installed configured monitor added description sent tuesday hello again purchase completed for monitor en pro dock mc mc she was later given monitor there need monitor please store please prepare two tickets for replenish their stocks allocate docking station thanks thank you administrator phone kind regards ext ref msg,3,3
setup form hello thank providing regarding codes future similar requests please instead fulfilled both please two tickets thank kind regards setup form hi please client code per attached form thanks best regards,4,4
sent tuesday march can hello we unable access through using password please investigate thanks engineer applications,0,0
reconfigure setup hello please kind implement configuration route traffic recently upgraded link configured passive solution breaks out both providers thank lead,0,0
sent wednesday july access card problem hello having difficulties with access card being by any door details about access card can you please help kind regards developer,2,2
sent monday october lost access card hello today lost access card please block thanks senior developer en,2,2
re reminder informed about campaign manchester morning error report link advise please thanks thursday december reminder informed about campaign manchester hello apologies awareness regardless confirmation eligibility yet automate logic reminder follow next four survey quarters july october currently preparing upcoming want make informed contribute campaign manchester please engage report find out surveyed eligibility next weeks remember survey survey name segment type main offer filled other file dashboard more assigned pm similar receiving please amend records information inaccurate care update questions please care copyright rights reserved please refer section entities by old broad street,3,3
lost forgot authentication card got temporary one,2,2
hello la se sa badge si metal lac se card manager,2,2
hello sd have received automated call warning alarm was triggered our you should also receive such automated calls you have any info regarding incident if you need other info you can call call mobile phone thank you best regards engineer,2,2
tuesday december pm out hi guys please share details out thanks lead,1,1
sent thursday october laptop issue hi kindly ask your assistance today encountered issue with laptop after freezes even if only for chrome browsers tried restart laptop several times issue still persists kind regards,3,3
tuesday december pm forced upgrade senior engineer tuesday december forced upgrade hello vacation noticed update please perform update freed thank kind regards engineer,3,3
sent monday october laptop en hi guys was leaver last week when leaver form came contacted find his hardware everything was found except his laptop en searched for his laptop with but we find please help track laptop please log best regards engineer ext en,3,3
original message sent tuesday february event notification data event sub door remote alarm source sub door details details details,2,2
access control card access issue hi please provide access for building entrance for card best regards infrastructure engineering lead,2,2
re returning maternity leave hi please attached added comment manually location please let other details thank wednesday returning maternity leave hi please fill she returning maternity leave february thank regards id image cd,4,1
purchase po dear purchased digital mb please log allocation after receive item please take consideration mandatory receipts section order receive item ordered how video link kind regards administrator,3,3
informed his card working properly card number he cannot out floor she kindly activate card instead,1,1
hi created called please help out creation please make owner add form thank,4,4
re pm change hi receiving action requests which right since pm must fulfilled by by please transfer pm includes thanks coordinator,4,4
assets hi kindly ask provide folder saved close closing fixed assets kindly ask order forecast depreciation amortization periods thanks regards planning analyst,0,0
tv marketplace hello information about accessing tv future marketplace tv tv app possible knowing tv image video text app knowing possible make privileges thank best regards,0,0
thursday pm internship hi internship interns repository well infrastructure hosted code discussion order provide name possible internship questions please let kind regards discipline lead,0,4
hi cannot please best regards specialist retention rotterdam tuesday thursday friday hi changed work please best regards specialist retention rotterdam tuesday thursday friday information contained communication confidential legally privileged intended solely individual entity whom addressed others authorized receive intended recipient hereby notified disclosure copying taking action relation contents information strictly prohibited unlawful neither nor represented liable complete transmission contents timely receipt institutional registered under,4,4
monitor raiser hello please allocate flex black thanks kind regards administrator,3,3
sent friday broken screen hello screen fell desktop since got entangled with wires work anymore regards senior tester colombia,3,3
sent thursday october importance high hello please raise ticket find phone gone for week seems device used be go moved but there track device used be room might be stored small locker but was unable check there room if there we should bring replacement one presume there some case one breaks disappears while looking for other one thank you manager,3,3
friday december pm please close secure area hi please close her starting december available desks floor tower sorry inconvenience kind regards officer,1,1
re successful upgrade black duck users hi everyone upgrade application version went successfully users ad please image result black duck hub version upgrade dear colleagues upgrade hub application version has completed successfully important order continue scanning upgrade hub scanner client steps upgrade hub scanner user profile menu select tools based os download install hub scanner version user license agreement registration user license agreement appears hub must accept terms conditions hub fixed issue reported issue fixed release fixed issue whereby job runner container became disconnected running hub multi node docker swarm cluster please hesitate good how warm regards concerns please let best regards senior engineer,4,4
hello received think moved thursday pm voice proxy software hi voice proxy let two more parties connect phone call without disclosing phone driver calls waiting passenger agree pickup location reaching out let platform provides high voice proxy solution unbeatable price offering voice calls minute states because offer convenient per second billing even greater learn more about how platform help add back learn more about voice proxy how customers re invited upcoming connect communications specialist platform st san ca preferences,2,2
sent friday lack disk space drive hi guys had problem with lack disk space drive laptop already helped solve thanks test consultant,3,3
re help hi added two days annual leave please submit card kind regards thursday pm help hi members has had extend his annual leave include today tomorrow please update his thursday friday indicate annual leave submit his accordingly talked issue she fully thanks help cheers editorial consultant,4,4
sent friday availability importance high hi someone complained can find or speak when try also raised fact same situation seems be happening with could you please check if there any issues our side thank you client manager,0,0
sent access badge lost hello lost access badge could you please disable help obtaining one thank you have,2,2
migration hi please log migration git repository thank engineer wednesday re migration git success link browse link git git respect engineer tuesday pm re migration git re migration automation testing git care firma git si sub events git permissions fie internship investigation git initial pun ca out ca let wrote la care si automation testing git care firma git si events git permissions fie internship investigation git initial pun ca out ca let re migration automation testing git events git git si la december re migration done december re migration stage fie la stage care el wrote stage ca sub si care let pot december re migration pus care fie la si rest stage la la care scop owner automation testing git events git git wrote recent si ca ti write table feel free tot ca date va si va la si by default tot ca date care care started la care inca care pot fie si,4,1
lost badge dear could you please provide allocate badge for access et offices since have lost cannot find existent one please let know if additional information required thanks test lead,2,2
hello robotics remote pc provided by client attached find information about pc please further information required best regards developer,0,0
hi guys please create order decommission old ref technical specs os cpu disk preferably changed after confirmed were moved has same software optional digging installing much appreciated senior engineer,0,0
la la si,3,1
sent thursday october printing issue hello print anything machine went fixed problem very fast thank you designer,3,3
sent monday october re notification upgrade when open software center says items found need be or can remote president,3,3
timecards hi please best regards analyst wednesday pm timecards hi please kind submit leave timecards until she suspended leave make won receive needed side let thank,4,4
wednesday july pm st dear please find attached joiner also ask create thank regards administrator,2,1
original message sent thursday march alarm alarm alarm changed status yellow target par previous status status yellow alarm definition yellow metric above red metric above current values for metric metric disk space used description alarm usage disk par changed yellow,0,0
friday february secured hi please secured guests badges please ensure done till february thanks,2,1
called today around inform alarm was triggered called after unarmed while phone code was armed back,2,2
starter form induction hi please assist completion attached return form empty part thank officer,4,4
march secured area hi please secured thanks,1,1
case for belgrade working for one server machines location rd floor server space,0,0
original message sent february error drive enclosure event enclosure event fault enclosure status over voltage dc failure event id event code event severity error event name location client name contact address additional information indicated alert condition was detected indicated enclosure event logged error severity when one supplies enclosure supplied or when hardware failure detected recommended action check modules enclosure properly seated their slots their latches locked if reported problem with perform these checks check each module switch turned check each cable firmly plugged into functional electrical outlet if reported problem with temperature or fan or perform these checks check enclosure fans running check ambient temperature too warm enclosure operating range check for any obstructions airflow check there module or blank plate every module slot enclosure if none above resolve issue indicated probably failed should be replaced failed probably have led lit when problem resolved event logged sent february error problem event there problem with type right enclosure product id sn cl version related event serial number related event code event id event code event severity error event name location client name contact address additional information indicated failed or operating correctly event follows some other specific event indicating problem recommended action determine whether needs be replaced topic about verifying component failure component replacement instructions document,0,0
re hello please create he confluence thank great kind regards analyst tuesday pm hi setup possible he going assisting pipe stream director water street floor ny dial ext fax information transmitted content communication confidential intended intended recipient affiliates subsidiaries intended recipient hereby notified information contained transmitted communication dissemination copying communication strictly prohibited received communication error please notify immediately by replying delete,4,4
sent monday access card functional si access va merci program manager,2,2
forced upgrade hello forced upgrade ran shows installing again please stop upgrade done thanks senior,3,3
hi added two his role unfortunately please looking forward thanks officer,4,4
card va la ca card va sa si care se sa alt card va manager,2,2
card leaver va,1,1
create records application hi create record thank senior engineer,0,0
mart complete colombia dear please help completed form mart testing internship student intern joining well please complete going his where he going seated thank compliance officer colombia,3,3
re clients add hi thank re doing fine well clients added visible tomorrow hi please log thank kind regards analyst clients add hi well writing kind add clients client name client marathon client name icon client tuition st rd kingdom thank help kind regards mobility officer ext,4,4
hello received items lite black order number lite black order number please advise please log thank engineer ext,3,3
sent wednesday february environment form hi could you please log request for entire operations for following issue since we have moved we can longer connect desktop tm wireless infrastructure can you raise with whomever can assist we need be able connect also side note works fine with cable connection thanks monitoring engineer,0,0
install dear please log assign helping her install her scanner thanks kind regards engineer,3,3
tuesday pm re areas hi granted having head please secure area verify right right thanks pm areas hello please ignore received thank kind regards analyst ext hub pm areas hello please approve she needs secured area looking forward hearing thank kind regards analyst ext hub friday re replicate storage floor hi she also needs areas thank thursday pm replicate storage floor hello please advised granted storage floor kindly note area also please let also locations kind regards rare analyst ext hub tuesday pm re starter card enabling care si care storage la library social tuesday pm starter card enabling va la ti analyst ext hub,1,1
change name hi please change name thank upcoming vacation,4,4
sent friday error status hello please raise order investigate issue described below kind regards senior engineer en sent friday error status server copyright edition bit build pack failed jobs listing status job name step id step name start date message failed rep reports data import processing executed failed rep reports data import processing executed note step was retried requested number times without succeeding step failed,0,0
cards tomorrow joiners dear colleagues please kindly assigning cards colleagues starting tomorrow did received regarding matter available cards these ones thank best regards lost lost,1,1
tuesday pm importance high si blvd rd floor,1,1
sent monday october re cannot connect ops hello happened again added machine back wireless ops can you please find out why keeps happening re add any other groups should be part thanks sent july cannot connect ops hi please be advised we have granted your laptop access ops once again should you encounter any issues following reboot please let know thank you kind regards analyst ext sent monday july cannot connect ops hello can you please log ticket for following issue have laptop en previously able join ops wireless today able join get following error message there errors errors shown either event log machine nor logs server additionally wireless can connect cannot access servers nor can access end points order connect remotely would be able access these devices therefore unable access resources need work regards,3,3
mailbox icon dear please create per details name members thanks lead,4,4
sent visitor badge lost visitor hi our colleague was week delivering training lost visitor access card issued him could you kindly block card please let know if there any other information needed kind regards her manager,2,2
thursday december pm please close area hi please ask close secure area tower thanks regards officer,2,1
virtual by dear please assign virtual logic link which allow obtain virtual by affected availability these virtual machine name thanks senior consultant,0,0
updates installation test stage october dear please informed testing stage patched saturday october pm please notify scheduled works affected during form attached best regards kind regards engineer,0,0
leaver card,1,1
